SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
1,6,27039,381,7,NULL,"0,00",38:25.4,FQL4S94E4ME1EZFTG42G
2,16,25011,61,7,NULL,"0,00",03:31.1,12UGLX40DJ1A5DTFBHB8
3,13,94024,23,24,NULL,"0,00",31:56.9,5DT8RCPL87KI5EORO7B0
4,8,73966,176,19,0.2,"0,00",43:55.4,R3DR9MLD5NR76VO17ULE
5,10,32653,310,9,NULL,"0,00",37:03.9,4BGS0Z5OMAZ8NDAFHHP3
6,13,28663,413,8,NULL,"0,00",33:25.0,3KTAYIZPGDQMZMRWZ8NG
7,14,46674,370,12,NULL,"0,00",09:58.7,ICRZIHELQCVB71RNH1G5
8,3,12687,287,4,0.2,"0,00",41:38.5,6X9MOQIJH92NIK81BG0K
9,16,89009,124,23,NULL,"0,00",19:58.6,P0UARL09H66APBEIDUQW
10,22,65017,346,17,0.2,"0,00",12:08.5,92TNPGIL6LFKVGWFBW5H
11,5,67670,405,18,0.2,"0,00",23:05.4,Z2WDS9TJXLAO1GY0N24I
12,17,28353,285,8,NULL,"0,00",50:06.0,BLQPUVH22XKER90WAW7P
13,22,29082,162,8,0.2,"0,00",40:36.8,8Z5WT0YENU1ZMOH5NYEB
14,7,33133,406,9,NULL,"0,00",39:52.0,VOP9A7Y4C5XSM2LLT0UJ
15,19,19310,134,5,NULL,"0,00",20:52.5,E2JF4LIQNYTDKDBGMJS0
16,16,91867,364,24,NULL,"0,00",55:11.6,AO360LVKUYJSSGL5T5MF
17,8,14612,185,4,NULL,"0,00",02:39.5,P73F1OA46H2JE3EF83ZM
18,17,96120,377,25,0.1,"0,00",15:34.7,S09LSXPASD6KXLHZRZWL
19,23,2657,49,1,NULL,"0,00",17:04.6,NGH8EC7PL1MS7W6UT8RL
20,18,51200,308,13,NULL,"0,00",02:34.5,D3VYGIWGH421Q5JSCEKI
21,16,91382,147,24,NULL,"0,00",42:49.0,7BKSQOA5XQ50L9DLAXUB
22,18,23677,442,6,NULL,"0,00",14:45.6,3XJQHRN1HU7295SB6QUL
23,1,35389,392,9,NULL,"0,00",23:12.4,KDX14V662HP7B4E019WN
24,23,66030,324,17,NULL,"0,00",56:50.5,FWXXB3LA360PZJJMPCVH
25,7,45384,341,12,NULL,"0,00",42:59.6,EDHVY1DB5HXY64GZ4SRK
26,14,87577,369,23,NULL,"0,00",27:01.2,YAPHCKUECW0590JG1D27
27,10,14848,330,4,NULL,"0,00",27:33.6,YO2QTF3MKJ4WYG2REMGJ
28,6,45482,145,12,0.2,"0,00",47:43.0,SLWSW3WJ3EPDX0LNQI5R
29,11,655,378,1,NULL,"0,00",31:36.7,RDW9BKHONRLN1536YWB6
30,4,77357,91,20,NULL,"0,00",03:54.1,H4EI0FH4N3BS518ZJLIF
31,4,87441,449,23,NULL,"0,00",10:14.7,GM4PVVHGSLUKOA8IQA5Z
32,22,47694,124,13,0.2,"0,00",09:32.2,ZOAVW4V6EBSQ71HAT5KZ
33,15,43145,291,11,NULL,"0,00",31:57.4,VHG7GQZHTADFBGYTTZQM
34,4,17875,116,5,NULL,"0,00",21:21.8,DA1UH9Q7X5K0V47TOFDV
35,2,75421,367,20,0.1,"0,00",21:05.6,L1FAVKJGZ6TDDH7FDZG9
36,3,19823,150,6,NULL,"0,00",25:09.0,V5SFGCR05JCQLR9LJLP7
37,20,51149,2,13,NULL,"0,00",26:35.2,XZRNIM0DAGWMEPVMVF7S
38,9,70699,344,18,NULL,"0,00",19:04.7,TMGMRPXTUDR2JY61RYQQ
39,7,61998,64,16,NULL,"0,00",34:28.0,V3F371DYN6HEA3CA0QW2
40,3,22037,419,6,NULL,"0,00",49:24.1,G25KURPL4HH1TYI0IKNK
41,17,23796,246,7,NULL,"0,00",58:03.9,77AN9UTRQ7TO2E1AJCAN
42,14,13389,439,4,NULL,"0,00",43:12.2,JP0DG5U9H58IP9VVWLXW
43,15,74923,215,19,NULL,"0,00",45:29.4,D9ODQJHQZ8DWHOI9ASOY
44,12,69666,21,18,NULL,"0,00",56:54.7,81K6D55FNQCRI5FBZPLC
45,5,26337,384,7,NULL,"0,00",37:10.3,IXVL7LCLLS8XC4736CEB
46,13,28160,420,8,0.1,"0,00",45:37.3,BH05YI2YA23MYQ4PK6KS
47,5,86775,407,22,NULL,"0,00",17:50.1,1X4T6187SC7087FUG82A
48,16,68391,335,18,NULL,"0,00",58:37.1,AP5BEE3EM6TIGAJWBSGT
49,18,93402,108,24,NULL,"0,00",03:35.6,IPVLPJOV4XHI7Q8ZIRN4
50,21,16869,257,5,NULL,"0,00",49:20.5,66EHSWVX5FLHWSZ9POVF
51,21,12478,215,4,0.2,"0,00",NULL,H8B08JBXS1TOWBJH3XMS
52,13,42015,352,11,NULL,"0,00",09:30.7,ZHV1AY8PT2RPAOX2HJDJ
53,20,30247,220,8,NULL,"0,00",06:58.9,CESS0HGRLR9MLIQFZYL3
54,9,75366,170,20,NULL,"0,00",11:00.8,YY1YLMLFMD88XM239AHR
55,7,69334,137,18,NULL,"0,00",39:03.3,8BI3P66MILSGTEGQTEUU
56,12,3362,392,1,0.1,"0,00",32:02.8,ZE0DOWNCQN4B8QMJVWGE
57,15,88382,122,23,NULL,"0,00",23:39.8,4SGS38MDFWMXM8XIP1AI
58,14,27995,151,8,NULL,"0,00",40:18.8,RXO4KNT6XHEFIULKLKO1
59,2,28582,288,8,NULL,"0,00",35:06.4,ARHEMHP05V6VJCUROJKS
60,20,43835,393,12,NULL,"0,00",00:55.8,HE8H3DBX4GMHBH57PX54
61,3,13816,83,4,NULL,"0,00",10:02.8,SM7KZIRSW039RSD8XJ4E
62,9,1193,225,1,NULL,"0,00",05:51.4,1EKE7VOKZLFN0PS0X3VK
63,16,12032,361,4,NULL,"0,00",22:15.8,7FI7JOSYRE1Q3Q7N5SM2
64,12,11652,34,3,0.2,"0,00",10:01.8,XENLR2K80F8TXTZ16N7V
65,18,76336,349,20,NULL,"0,00",16:04.4,77EXXYLDRB8HXA0VMSL8
66,6,19976,282,6,0.2,"0,00",01:53.8,RYSW5X8MY4F6LQ79NT4Z
67,3,83968,446,22,NULL,"0,00",13:33.1,84ZB0IY5KVMNWF8L1S1D
68,19,11207,46,3,NULL,"0,00",18:08.6,T6TBBKTMYYH9VJUTK4E9
69,6,56472,39,15,NULL,"0,00",19:15.0,D9TJPAYNM12M4EX60PY5
70,16,98247,437,25,NULL,"0,00",18:46.3,MW4E0WESGOM3AFX0RLAU
71,19,40719,362,11,0.2,"0,00",55:43.5,BXEMQ4XMJEG4WRDO5OEK
72,22,42673,294,11,NULL,"0,00",28:36.3,6CFIUZ0693OALBYQR9RH
73,11,34122,313,9,NULL,"0,00",43:34.8,W96ZDOJBMXVA35LZ4W5W
74,21,79380,83,21,NULL,"0,00",41:06.8,ABSUAFFYDEM3P939JGAG
75,1,27404,62,7,NULL,"0,00",27:40.5,M6SZI5DRNCMKPMYE4384
76,2,77993,161,20,NULL,"0,00",04:30.6,8I97DVHPKGUGMO4ZUSA1
77,4,47514,227,13,0.1,"0,00",59:36.8,Q1ZJ0N4UED2CGDOIS49V
78,13,64482,371,17,NULL,"0,00",29:16.2,2WS42XTEAAY26IG9ND8D
79,18,39693,393,11,NULL,"0,00",26:17.6,53R35AGH1N066N57FXPA
80,18,17225,374,5,NULL,"0,00",19:40.2,4249AV784R1H5WT10XND
81,10,803,415,1,NULL,"0,00",57:22.3,8NYV0UA28FJ3F10NUUF8
82,18,45217,448,12,NULL,"0,00",09:11.1,WVYO0RC6E01XIVE5DA0W
83,11,50839,37,13,0.1,"0,00",28:56.5,VCHEQVSD6274PCSZ703Y
84,13,82545,122,21,0.1,"0,00",44:07.4,UFH5W5MHGKFC20JH99VJ
85,7,64880,328,17,NULL,"0,00",42:16.2,8XUSTJM66AWY91WZ9UP6
86,15,45426,98,12,NULL,"0,00",54:23.4,PISSNB9HXQ8E4LIND2MZ
87,3,17448,356,5,NULL,"0,00",03:15.8,99IDSZMH0E5DWIE1068D
88,7,66538,122,17,NULL,"0,00",58:31.4,9JOJ4GECVR36LG8AEUCM
89,20,47301,431,12,NULL,"0,00",52:54.1,WC21823LCWEMMZQTUOI8
90,14,72059,428,19,NULL,"0,00",49:18.9,5N26A25RLCVQOD7MHWEA
91,11,30201,29,8,NULL,"0,00",57:25.8,IUPJZGHHJ6TDURO0UX0X
92,7,23155,304,6,0.2,"0,00",44:50.2,RKIVXMJ6DR4YEMSCNBLN
93,7,42117,57,11,NULL,"0,00",51:28.8,162CTLIMMYDCXRA7N2UY
94,11,18164,124,5,0.1,"0,00",18:08.9,6EPFG5WN7MFAJPEGJ311
95,23,8222,337,3,NULL,"0,00",24:25.2,QSQLGUH5Z9QPZVRCXCGL
96,9,22604,22,6,NULL,"0,00",43:32.7,FCY2D2WR4YTXPGLYT0AE
97,21,1358,78,1,0.1,"0,00",35:48.1,8DOKJUM3MQKFMAGSJ3SL
98,4,63272,182,17,0.1,"0,00",33:10.4,UAXS9E5E3C56F7YAHU89
99,17,92090,124,24,0.2,"0,00",29:25.0,I78H3546AWIT4D2QS9FG
100,23,6361,103,2,NULL,"0,00",55:01.0,JDF863IH28KBQC3PA691
101,10,42951,426,11,NULL,"0,00",23:37.1,SFMDBTVJOKSTYZTT9X1M
102,10,75568,362,20,NULL,"0,00",27:28.7,8OYID1Z1I35FHQYSVUAM
103,10,11920,296,4,NULL,"0,00",58:35.0,DORHSC9W088EJKRNUYSW
104,2,93915,124,24,NULL,"0,00",39:50.8,6HNDG9V0E2R0QU070LOP
105,2,74910,347,19,NULL,"0,00",07:52.1,HUX0Y5640WIQF6634B3E
106,22,68565,374,18,NULL,"0,00",20:44.2,M6HESPRGTC36DONPDH4O
107,2,7893,39,2,0.1,"0,00",25:56.0,D68AAOT3W9LB9VNGM6FE
108,23,49626,138,13,NULL,"0,00",25:52.2,6JEJ1HJDRTZPZ9Z84H1Y
109,8,47963,108,13,0.2,"0,00",43:20.3,X3IV4TZ9RBOA76MTQ869
110,6,90100,429,23,NULL,"0,00",34:32.6,5FLM9MN7HODGB9GWOXOK
111,8,54608,165,14,0.1,"0,00",32:26.0,0IAFR2DEE8VOMRNW8U7B
112,3,23900,203,7,NULL,"0,00",54:23.6,9NATWW6X2BIPL5XA7IJA
113,20,87061,210,23,NULL,"0,00",14:01.1,3FISPHTZF3G92QV0LV57
114,8,11358,366,3,NULL,"0,00",15:26.3,BXCY1MPM1CO0867S06FC
115,10,43033,431,11,0.2,"0,00",03:33.5,M71GIE2ALMD3BRH5UOV3
116,8,67359,87,18,NULL,"0,00",00:51.6,DRS8UJN7LOQUJOQBHI7M
117,21,49113,189,13,NULL,"0,00",36:54.8,GPAXWEPM6IJ8K9F98NVE
118,3,28246,240,8,NULL,"0,00",38:08.4,0XN8R2RUC5NH1X2IBX5Y
119,5,45532,158,12,NULL,"0,00",27:45.6,E66MZFA19UC78GSMO5CX
120,4,30910,252,8,NULL,"0,00",21:41.0,UDVRIBDQWQPGHLRGMSMH
121,4,2529,378,1,NULL,"0,00",58:38.0,2AB9SH9VMSS0TKSAUG4W
122,19,17431,325,5,NULL,"0,00",15:01.7,D4MRRV052DPGYS2KIQU3
123,23,62666,67,16,NULL,"0,00",25:14.4,AXXGO0Y5RBIKHP6PI1M8
124,15,83172,63,22,NULL,"0,00",29:56.1,KF3JUSQQCQ9SG36PA3U2
125,5,68047,408,18,NULL,"0,00",21:20.5,A16WH2WU0P8U4PITXT87
126,13,17565,59,5,NULL,"0,00",10:53.3,FL9R1LZZ7XR6Q9DWNDPU
127,16,556,237,1,NULL,"0,00",37:07.5,B01YBDNVD9LUKVGX5FHW
128,23,15959,190,5,0.2,"0,00",25:25.8,SRGODG5W9GJDJ3K8TP8B
129,21,71159,198,19,NULL,"0,00",16:41.6,UN6B6EWZIX8Y0J8K9YWI
130,16,4801,41,2,NULL,"0,00",44:07.8,3T2H1RVPBQ8KRY4AC718
131,4,76636,84,20,NULL,"0,00",28:42.5,RIAFIKCNJRBT5RT4U4M1
132,1,83001,45,22,NULL,"0,00",26:26.4,670D9L4AXQU91BBR1I7J
133,20,71152,248,19,NULL,"0,00",59:51.2,RYWQL7A5H2F7NLAA19Y7
134,19,33333,291,9,0.1,"0,00",31:16.7,M1GK3FICSMEH8E83NNET
135,8,73033,401,19,0.1,"0,00",56:03.0,FNF1EQ0G099BO5XF6IRS
136,23,23994,54,7,0.2,"0,00",29:53.5,OG0QE616ELKD87D1IPPH
137,8,33297,152,9,NULL,"0,00",10:36.1,SD55K9BOG5M1CQ7EBZJY
138,10,55683,365,15,NULL,"0,00",49:05.7,MNOXFXKDOT2AWW3UKUXQ
139,11,7636,227,2,NULL,"0,00",36:15.3,XGYCWG5M6P5JM6PH84BR
140,8,95074,407,25,NULL,"0,00",21:32.0,SBJQFU4JR4L7RP7QLJHE
141,13,37533,59,10,NULL,"0,00",28:27.4,H3XR9QDDBQMZ844ELGM1
142,4,66582,218,17,NULL,"0,00",37:23.6,EKJBVGHQMKUCIA7MZ53Q
143,23,18575,14,5,0.2,"0,00",15:11.1,FEZ8IK3BZ2UDO3JDGE9W
144,14,55960,3,15,NULL,"0,00",18:21.5,P5RNPTWRLAIAWZ6K3CWE
145,6,17451,263,5,NULL,"0,00",16:52.9,NIZYU7O9JRUUJQ87LTQ6
146,9,6301,278,2,0.1,"0,00",03:02.2,DRB2S4CTD1CI71NSOVM7
147,11,34853,94,9,NULL,"0,00",30:49.0,2JNGC8YCHJ67U9QOW23C
148,23,30759,143,8,0.2,"0,00",36:02.5,6QIBBOKFWX4Y1B8NMFVE
149,1,73891,146,19,0.1,"0,00",14:35.4,VH6BCSX3STIV2VS551JD
150,15,39622,250,11,NULL,"0,00",23:33.6,LM18TXH09M8YZB8B0YVN
151,11,72250,285,19,NULL,"0,00",06:37.9,44L2ZFFIHEC0KAV42JVF
152,19,71872,290,19,NULL,"0,00",57:39.7,I6AX3KKU42NQKGHF6UH1
153,22,17740,25,5,NULL,"0,00",05:24.8,S8VXE1D6YF077MYB5VVV
154,13,61181,325,16,0.2,"0,00",07:43.9,CBOAZTDOWPDELQXEZOJ6
155,19,3833,177,1,NULL,"0,00",56:22.9,6NMICUJ40YM5UFW7NF7Z
156,15,25521,102,7,NULL,"0,00",08:35.4,2PNTMV0X57CP06O1RMZU
157,11,12903,295,4,NULL,"0,00",02:14.3,VQR8RA06C8B753XZOQYI
158,19,27507,233,7,NULL,"0,00",28:38.9,VR9GU886VT74X7YVLVLZ
159,20,25869,169,7,0.2,"0,00",18:30.3,SY0IU2Q13V1BDZZHRX2S
160,13,57346,288,15,NULL,"0,00",56:58.7,HF428WY43VCJG2T9YZ5H
161,7,68009,137,18,0.1,"0,00",43:36.6,SX6SJ7ZDUYJ7PBIWFM6R
162,2,90694,302,23,0.1,"0,00",00:30.1,Z0OSXW58SXWAVPIX9OPZ
163,2,77227,393,20,NULL,"0,00",09:10.6,9XTCQRBCJCZP8SWH0MAU
164,15,43163,68,11,0.1,"0,00",59:12.6,10NWULZY5YGS5Q3UG65U
165,2,13465,346,4,NULL,"0,00",05:50.1,9LWKNXLG91F5M7W6GW5B
166,8,70367,121,18,NULL,"0,00",05:59.6,DDJX21TMJG5Z9REQB6OD
167,7,51508,408,14,0.1,"0,00",54:32.4,WW1NJJ6N09ZIHW7DNLVS
168,1,53729,372,14,NULL,"0,00",42:44.5,PL95CFIG4QHYWGHHAIIN
169,1,37085,418,10,NULL,"0,00",19:23.2,J66HRV7DNKTKO6ARH63O
170,10,19039,377,5,NULL,"0,00",33:40.0,VIIKLFPVD2D5U5E3NKKA
171,1,34062,388,9,NULL,"0,00",50:15.5,H5OD7A6PSBEYRONNX6GH
172,12,92189,276,24,NULL,"0,00",47:49.1,AHFFU1VNTMJD4DDU6E5J
173,16,20611,14,6,NULL,"0,00",01:53.1,KRZ63HQFQD4TL7N8XC9A
174,20,49217,204,13,NULL,"0,00",06:13.6,YPVKMAATQSAYBPQG8RJ5
175,14,92136,193,24,NULL,"0,00",53:13.6,38FKI6PL91W84M24LG6F
176,1,34706,160,9,NULL,"0,00",21:14.4,ZLTUAHXSPLP5UUGF033L
177,20,97615,311,25,NULL,"0,00",59:50.6,HREQ72OCMADPL3NLQ8OR
178,9,6706,64,2,NULL,"0,00",06:52.9,JG629RLOLC2UDIUE43F9
179,10,65722,253,17,NULL,"0,00",13:03.2,2ACG8RTUAVEUFXA7NXB3
180,20,61746,130,16,NULL,"0,00",18:18.2,1XAU7LS6L49ICH6UL10R
181,3,81471,418,21,NULL,"0,00",40:04.3,BHNZYKJ7G646S1C1L051
182,16,68557,95,18,NULL,"0,00",01:05.0,OR5C2G4C2VACTPGMV909
183,23,40827,45,11,0.1,"0,00",10:50.5,5X5CKFUTZ0UQ6NQINV4F
184,7,31537,401,8,NULL,"0,00",53:08.0,EATUZBVFQR5RNITZ0I0A
185,6,31310,208,8,NULL,"0,00",37:29.8,2VGLM2Q37DWT4RNCIK3Y
186,9,4765,246,2,0.2,"0,00",31:02.8,89PYJ4WJND35BBFD8C95
187,2,65261,21,17,NULL,"0,00",21:01.6,JD8XJR5MHXXB4TLQN3XT
188,7,9972,376,3,NULL,"0,00",52:07.3,K0TOSF7ZA8TS2PVG0ZDR
189,23,29500,114,8,NULL,"0,00",34:53.7,5F6T6HTMK8CCRZDF9QBX
190,16,47513,299,13,NULL,"0,00",47:27.7,7P3J13QAM3K2NEKMVMYE
191,13,11092,211,3,NULL,"0,00",27:39.2,PZHGBQH0R92T9XQ3A4D3
192,13,5790,371,2,NULL,"0,00",41:57.2,X4R94KTSE4DJAIPL2QD8
193,13,29815,197,8,NULL,"0,00",30:35.4,VUI9DGTJKHKA1RVP666O
194,22,49049,392,13,0.2,"0,00",39:16.5,D5O9ZF1H7E0V12A90Q3Z
195,2,27066,270,7,NULL,"0,00",37:55.4,TMS98RTVVJ7K2HPTZE1S
196,11,45599,210,12,NULL,"0,00",27:57.3,C3JFZOKG6G2OYKIWZQO7
197,2,88114,278,23,NULL,"0,00",28:13.1,CUTBZKLG0C277GJ8U829
198,8,74172,399,19,0.2,"0,00",15:58.5,P34V3X6X0ODKF08Q303Z
199,13,42496,110,11,0.1,"0,00",12:31.4,53ZHR3YN5HLY7MROGVNE
